Item Code,CPC Code,Item
492,'21431.02,Juice; orange; concentrated
495,'01324,Tangerines; mandarins; clementines; satsumas
496,'21439.01,Juice; tangerine
497,'01322,Lemons and limes
498,'21439.02,Juice; lemon; single strength
499,'21439.03,Juice; lemon; concentrated
50,'23999.01,Malt extract
507,'01321,Grapefruit (inc. pomelos)
509,'21432,Juice; grapefruit
51,'24310.01,Beer of barley
510,'21432.01,Juice; grapefruit; concentrated
512,'01329,Fruit; citrus nes
513,'21439.04,Juice; citrus; single strength
514,'21439.05,Juice; citrus; concentrated
515,'01341,Apples
517,'24230.03,Cider etc
518,'21435.01,Juice; apple; single strength
519,'21435.02,Juice; apple; concentrated
521,'01342.01,Pears
523,'01342.02,Quinces
526,'01343,Apricots
527,'21419.01,Apricots; dry
530,'01344.01,Cherries; sour
531,'01344.02,Cherries
534,'01345,Peaches and nectarines
536,'01346,Plums and sloes
537,'21412,Plums dried (prunes)
538,'21439.06,Juice; plum; single strength
539,'21439.07,Juice; plum; concentrated
541,'01349.20,Fruit; stone nes
542,'01349.10,Fruit; pome nes
544,'01354,Strawberries
547,'01353.01,Raspberries
549,'01351.02,Gooseberries
550,'01351.01,Currants
552,'01355.01,Blueberries
554,'01355.02,Cranberries
558,'01355.90,Berries nes
56,'0112,Maize
560,'01330,Grapes
561,'21411,Raisins
562,'21434,Juice; grape
563,'24212.01,Grapes; must
564,'24212.02,Wine
565,'24220,Vermouths & similar
567,'01221,Watermelons
568,'01229,Melons; other (inc.cantaloupes)
569,'01315,Figs
57,'23140.06,Germ; maize
570,'21419.02,Figs dried
571,'01316,Mangoes; mangosteens; guavas
572,'01311,Avocados
574,'01318,Pineapples
575,'21491,Pineapples canned
576,'21433,Juice; pineapple
577,'01314,Dates
58,'23120.03,Flour; maize
580,'21433.01,Juice; pineapple; concentrated
583,'21439.08,Juice; mango
584,'21499.01,Mango pulp
587,'01359.01,Persimmons
59,'39120.04,Bran; maize
591,'01359.02,Cashewapple
592,'01352,Kiwi fruit
60,'21691.02,Oil; maize
600,'01317,Papayas
603,'01319,Fruit; tropical fresh nes
604,'21419.91,Fruit; tropical dried nes
619,'01359.90,Fruit; fresh nes
620,'21419.99,Fruit; dried nes
622,'21439.90,Juice; fruit nes
623,'F0623,Fruit; prepared nes
624,'23170.04,Flour; fruit
625,'23670.02,Fruits; nuts; peel; sugar preserved
626,'23991.03,Fruit; cooked; homogenized preparations
63,'39130.02,Gluten; maize
632,'24110,Alcohol non food
634,'2413,Beverages; distilled alcoholic
64,'23220.04,Starch; maize
656,'01610,Coffee; green
657,'23911,Coffee; roasted
658,'23912.01,Coffee; substitutes containing coffee
659,'23912.02,Coffee; extracts
66,'24310.02,Beer of maize
661,'01640,Cocoa; beans
662,'23610.01,Cocoa; paste
663,'39150.02,Cocoa; husks; shell
664,'23620,Cocoa; butter
665,'F0665,Cocoa; powder & cake
666,'F0666,Chocolate products nes
667,'01620,Tea
671,'01630,Maté
672,'23914,Tea; mate extracts
687,'01651,Pepper (piper spp.)
689,'01652,Chillies and peppers; dry
692,'01658,Vanilla
693,'01655,Cinnamon (cannella)
698,'01656,Cloves
702,'01653,Nutmeg; mace and cardamoms
71,'0116,Rye
711,'01654,Anise; badian; fennel; coriander
72,'23120.04,Flour; rye
720,'01657,Ginger
723,'01699,Spices nes
73,'39120.05,Bran; rye
75,'0117,Oats
76,'23140.07,Oats rolled
77,'39120.06,Bran; oats
79,'0118,Millet
80,'23120.05,Flour; millet
81,'39120.07,Bran; millet
82,'24310.03,Beer of millet
83,'0114,Sorghum
84,'23120.06,Flour; sorghum
846,'39130.04,Feed and meal; gluten
85,'39120.08,Bran; sorghum
86,'24310.04,Beer of sorghum
866,'02111,Cattle
867,'21111.01,Meat; cattle
868,'21151,Offals; edible; cattle
869,'21512,Fat; cattle
870,'21111.02,Meat; cattle; boneless (beef & veal)
871,'21512.01,Fat; cattle butcher
872,'21182,Meat; beef; dried; salted; smoked
873,'21185,Meat; extracts
874,'21184.01,Meat; beef and veal sausages
875,'F0875,Meat; beef; preparations
877,'23991.04,Meat; homogenized preparations
878,'21189.01,Liver prep.
882,'02211,Milk; whole fresh cow
883,'22110.01,Milk; standardized
885,'22120,Cream fresh
886,'22241.01,Butter; cow milk
887,'22241.02,Ghee; butteroil of cow milk
888,'22110.02,Milk; skimmed cow
889,'22222.01,Milk; whole condensed
89,'01192,Buckwheat
890,'22130.03,Whey; condensed
891,'22230.01,Yoghurt
892,'22230.02,Yoghurt; concentrated or not
893,'22230.03,Buttermilk; curdled; acidified milk
894,'22221.01,Milk; whole evaporated
895,'22221.02,Milk; skimmed evaporated
896,'22222.02,Milk; skimmed condensed
897,'22211,Milk; whole dried
898,'22212,Milk; skimmed dried
899,'22230.04,Milk; dry buttermilk
90,'23120.07,Flour; buckwheat
900,'22130.02,Whey; dry
901,'22251.01,Cheese; whole cow milk
903,'22130.01,Whey; fresh
904,'22251.02,Cheese; skimmed cow milk
905,'22251.03,Whey; cheese
907,'22251.04,Cheese; processed
908,'22110.03,Milk; reconstituted
909,'22290,Milk; products of natural constituents nes
91,'39120.09,Bran; buckwheat
910,'22270,Ice cream and edible ice
916,'23993.01,Egg albumine
917,'22260,Casein
92,'01194,Quinoa
94,'01193,Fonio
946,'02112,Buffaloes
947,'21112,Meat; buffalo
948,'21152,Offals; edible; buffaloes
949,'21513,Fat; buffaloes
95,'23120.08,Flour; fonio
951,'02212,Milk; whole fresh buffalo
952,'22242.01,Butter; buffalo milk
953,'22242.02,Ghee; buffalo milk
954,'22110.04,Milk; skimmed buffalo
955,'22252,Cheese; buffalo milk
96,'39120.10,Bran; fonio
97,'01191,Triticale
976,'02122,Sheep
977,'21115,Meat; sheep
978,'21155,Offals; sheep;edible
979,'21514,Fat; sheep
98,'23120.09,Flour; triticale
982,'02291,Milk; whole fresh sheep
983,'22249.01,Butter and ghee; sheep milk
984,'22253,Cheese; sheep milk
985,'22110.05,Milk; skimmed sheep
99,'39120.11,Bran; triticale
994,'F0994,Grease incl. lanolin wool
