"Unilever U.S. ","BCUSCAT","CMAC2",,325620,311520,311512,311919,311941,311942,,,,,,,,,,,,,,,
"United Technologies Corporation ","BCUSCAT",,,333921,333922,333413,333414,333415,,,,,,,,,,,,,,,,
"Valdor, Inc. ","BCUSCAT",,,327212,334417,335313,335931,,,,,,,,,,,,,,,,,
"VF Intimates, L.P. ","BCUSCAT",,,315240,,,,,,,,,,,,,,,,,,,,
"Vintage Petroleum, Inc.","COA",,,211111,211112,,,,,,,,,,,,,,,,,,,
"Warnaco ","BCUSCAT",,,315190,315210,315220,315240,315280,315990,316210,316998,,,,,,,,,,,,,
"Williamson-Dickie Mfg. Co. ","BCUSCAT",,,315220,315240,315110,316210,,,,,,,,,,,,,,,,,
"Wilson Machine Knife ","BCUSCAT",,,333515,332216,,,,,,,,,,,,,,,,,,,
"W.W. Grainger, Inc","COA",,,,,,,,,,,,,,,,,,,,,,,
"Xerox Corporation ","BCUSCAT","COA",,334118,325992,325910,,,,,,,,,,,,,,,,,,
"YKK Corporation of America ","BCUSCAT",,,339993,,,,,,,,,,,,,,,,,,,,
